,序號,tool,category
1332,2371,Linux,4
1332,2371,C,4
1332,2371,C++,4
1332,2371,Java,4
1332,2371,Python,4
1334,2378,Linux,4
1334,2378,MCU,4
1334,2378,C,4
1334,2378,C++,4
1334,2378,Python,4
1334,2378,MySQL,4
1334,2378,TCP/IP,4
1334,2378,ARM,4
1334,2378,Firmware,4
1338,2382,Linux,4
1338,2382,MCU,4
1338,2382,C,4
1338,2382,C++,4
1338,2382,Python,4
1338,2382,MySQL,4
1338,2382,TCP/IP,4
1338,2382,ARM,4
1338,2382,Firmware,4
1342,2391,Linux,4
1342,2391,C,4
1342,2391,C#,4
1342,2391,C++,4
1342,2391,Python,4
1342,2391,Firmware,4
1347,2398,Linux,4
1347,2398,C,4
1347,2398,C++,4
1347,2398,Java,4
1347,2398,Python,4
1348,2399,Linux,4
1348,2399,C,4
1350,2401,Linux,4
1350,2401,C,4
1350,2401,C++,4
1350,2401,Java,4
1350,2401,Python,4
1352,2408,Linux,4
1352,2408,MCU,4
1352,2408,C,4
1352,2408,C++,4
1352,2408,Python,4
1352,2408,MySQL,4
1352,2408,TCP/IP,4
1352,2408,ARM,4
1352,2408,Firmware,4
1356,2412,Linux,4
1356,2412,MCU,4
1356,2412,C,4
1356,2412,C++,4
1356,2412,Python,4
1356,2412,MySQL,4
1356,2412,TCP/IP,4
1356,2412,ARM,4
1356,2412,Firmware,4
1360,2421,Linux,4
1360,2421,C,4
1360,2421,C#,4
1360,2421,C++,4
1360,2421,Python,4
1360,2421,Firmware,4
1365,2428,Linux,4
1365,2428,C,4
1365,2428,C++,4
1365,2428,Java,4
1365,2428,Python,4
1366,2429,Linux,4
1366,2429,C,4
1368,2431,Linux,4
1368,2431,C,4
1368,2431,C++,4
1368,2431,Java,4
1368,2431,Python,4
1370,2438,Linux,4
1370,2438,MCU,4
1370,2438,C,4
1370,2438,C++,4
1370,2438,Python,4
1370,2438,MySQL,4
1370,2438,TCP/IP,4
1370,2438,ARM,4
1370,2438,Firmware,4
1374,2442,Linux,4
1374,2442,MCU,4
1374,2442,C,4
1374,2442,C++,4
1374,2442,Python,4
1374,2442,MySQL,4
1374,2442,TCP/IP,4
1374,2442,ARM,4
1374,2442,Firmware,4
1378,2451,Linux,4
1378,2451,C,4
1378,2451,C#,4
1378,2451,C++,4
1378,2451,Python,4
1378,2451,Firmware,4
1383,2458,Linux,4
1383,2458,C,4
1383,2458,C++,4
1383,2458,Java,4
1383,2458,Python,4
1384,2459,Linux,4
1384,2459,C,4
1386,2461,Linux,4
1386,2461,C,4
1386,2461,C++,4
1386,2461,Java,4
1386,2461,Python,4
1388,2468,Linux,4
1388,2468,MCU,4
1388,2468,C,4
1388,2468,C++,4
1388,2468,Python,4
1388,2468,MySQL,4
1388,2468,TCP/IP,4
1388,2468,ARM,4
1388,2468,Firmware,4
1392,2472,Linux,4
1392,2472,MCU,4
1392,2472,C,4
1392,2472,C++,4
1392,2472,Python,4
1392,2472,MySQL,4
1392,2472,TCP/IP,4
1392,2472,ARM,4
1392,2472,Firmware,4
1396,2481,Linux,4
1396,2481,C,4
1396,2481,C#,4
1396,2481,C++,4
1396,2481,Python,4
1396,2481,Firmware,4
1401,2488,Linux,4
1401,2488,C,4
1401,2488,C++,4
1401,2488,Java,4
1401,2488,Python,4
1402,2489,Linux,4
1402,2489,C,4
1404,2491,Linux,4
1404,2491,C,4
1404,2491,C++,4
1404,2491,Java,4
1404,2491,Python,4
1406,2498,Linux,4
1406,2498,MCU,4
1406,2498,C,4
1406,2498,C++,4
1406,2498,Python,4
1406,2498,MySQL,4
1406,2498,TCP/IP,4
1406,2498,ARM,4
1406,2498,Firmware,4
1410,2502,Linux,4
1410,2502,MCU,4
1410,2502,C,4
1410,2502,C++,4
1410,2502,Python,4
1410,2502,MySQL,4
1410,2502,TCP/IP,4
1410,2502,ARM,4
1410,2502,Firmware,4
1414,2511,Linux,4
1414,2511,C,4
1414,2511,C#,4
1414,2511,C++,4
1414,2511,Python,4
1414,2511,Firmware,4
1419,2518,Linux,4
1419,2518,C,4
1419,2518,C++,4
1419,2518,Java,4
1419,2518,Python,4
1420,2519,Linux,4
1420,2519,C,4
1422,2521,Linux,4
1422,2521,C,4
1422,2521,C++,4
1422,2521,Java,4
1422,2521,Python,4
1424,2527,Linux,4
1424,2527,MCU,4
1424,2527,C,4
1424,2527,C++,4
1424,2527,Python,4
1424,2527,MySQL,4
1424,2527,TCP/IP,4
1424,2527,ARM,4
1424,2527,Firmware,4
1428,2531,Linux,4
1428,2531,MCU,4
1428,2531,C,4
1428,2531,C++,4
1428,2531,Python,4
1428,2531,MySQL,4
1428,2531,TCP/IP,4
1428,2531,ARM,4
1428,2531,Firmware,4
1432,2540,Linux,4
1432,2540,C,4
1432,2540,C#,4
1432,2540,C++,4
1432,2540,Python,4
1432,2540,Firmware,4
1437,2547,Linux,4
1437,2547,C,4
1437,2547,C++,4
1437,2547,Java,4
1437,2547,Python,4
1442,2557,C,4
1442,2557,C++,4
1442,2557,Java,4
1442,2557,Python,4
1442,2557,Go,4
1442,2557,Node.js,4
1444,2559,C,4
1444,2559,Python,4
1444,2559,LabVIEW,4
1444,2559,Telecom,4
1444,2559,WLAN,4
1445,2561,C,4
1445,2561,C++,4
1445,2561,Java,4
1445,2561,Python,4
1445,2561,Go,4
1445,2561,Node.js,4
1446,2562,Linux,4
1446,2562,C,4
1446,2562,C++,4
1451,2570,Linux,4
1451,2570,C,4
1460,2587,C,4
1460,2587,C++,4
1460,2587,Java,4
1460,2587,Python,4
1460,2587,Go,4
1460,2587,Node.js,4
1462,2589,C,4
1462,2589,Python,4
1462,2589,LabVIEW,4
1462,2589,Telecom,4
1462,2589,WLAN,4
1463,2591,C,4
1463,2591,C++,4
1463,2591,Java,4
1463,2591,Python,4
1463,2591,Go,4
1463,2591,Node.js,4
1464,2592,Linux,4
1464,2592,C,4
1464,2592,C++,4
1472,2602,Linux,4
1472,2602,MCU,4
1472,2602,SDLC,4
1472,2602,UML,4
1472,2602,Fortify,4
1472,2602,C,4
1472,2602,Security,4
1472,2602,ARM,4
1472,2602,USB技術,4
1474,2604,Linux,4
1474,2604,Android,4
1474,2604,C++,4
1476,2608,Linux,4
1476,2608,C,4
1476,2608,C++,4
1476,2608,Python,4
1476,2608,MySQL,4
1477,2609,Linux,4
1477,2609,iOS,4
1477,2609,C,4
1477,2609,C++,4
1477,2609,Python,4
1477,2609,Objective-C,4
1477,2609,SWIFT,4
1477,2609,JavaScript,4
1478,2610,Linux,4
1478,2610,C,4
1478,2610,C++,4
1478,2610,Python,4
1498,2634,Linux,4
1498,2634,Android,4
1498,2634,C++,4
1500,2638,Linux,4
1500,2638,C,4
1500,2638,C++,4
1500,2638,Python,4
1500,2638,MySQL,4
1501,2639,Linux,4
1501,2639,iOS,4
1501,2639,C,4
1501,2639,C++,4
1501,2639,Python,4
1501,2639,Objective-C,4
1501,2639,SWIFT,4
1501,2639,JavaScript,4
1502,2640,Linux,4
1502,2640,C,4
1502,2640,C++,4
1502,2640,Python,4
1518,2660,C,4
1518,2660,C++,4
1522,2665,C,4
1522,2665,C++,4
1523,2668,C,4
1523,2668,C++,4
1523,2668,Python,4
1523,2668,Bluetooth,4
1523,2668,ARM,4
1523,2668,Firmware,4
1524,2669,C,4
1524,2669,C++,4
1529,2684,Git,4
1529,2684,C,4
1529,2684,C#,4
1530,2686,ASP.NET,4
1530,2686,C,4
1530,2686,C++,4
1530,2686,HTML,4
1533,2690,C,4
1533,2690,C++,4
1537,2695,C,4
1537,2695,C++,4
1538,2696,Linux,4
1538,2696,Shell,4
1538,2696,C,4
1538,2696,C++,4
1538,2696,Socket,4
1539,2697,Linux,4
1539,2697,Shell,4
1539,2697,DDK,4
1539,2697,MCU,4
1539,2697,C,4
1539,2697,C++,4
1539,2697,WebAssembly,4
1539,2697,Socket,4
1540,2698,Linux,4
1540,2698,C,4
1540,2698,C++,4
1541,2699,C,4
1541,2699,C#,4
1541,2699,C++,4
1543,2704,C,4
1543,2704,C++,4
1543,2704,Java,4
1543,2704,Python,4
1543,2704,Objective-C,4
1543,2704,SWIFT,4
1543,2704,JavaScript,4
1551,2712,Linux,4
1551,2712,Git,4
1551,2712,C++,4
1553,2714,C,4
1553,2714,C++,4
1553,2714,Java,4
1553,2714,Python,4
1555,2716,Android,4
1555,2716,C,4
1555,2716,C++,4
1556,2717,C,4
1556,2717,C++,4
1556,2717,FPGA,4
1556,2717,OrCAD,4
1556,2717,VHDL,4
1560,2723,C,4
1560,2723,C++,4
1561,2724,C,4
1561,2724,C++,4
1562,2725,Linux,4
1562,2725,Android,4
1562,2725,C,4
1562,2725,C++,4
1562,2725,VisualStudio,4
1562,2725,MSSQL,4
1563,2726,Linux,4
1563,2726,MCU,4
1563,2726,Git,4
1563,2726,C,4
1563,2726,C++,4
1563,2726,Python,4
1566,2730,C,4
1566,2730,C#,4
1566,2730,C++,4
1566,2730,Java,4
1566,2730,VisualC++,4
1567,2731,Android,4
1567,2731,C,4
1567,2731,C++,4
1567,2731,Java,4
1569,2734,C,4
1569,2734,C++,4
1569,2734,Java,4
1569,2734,Python,4
1569,2734,Objective-C,4
1569,2734,SWIFT,4
1569,2734,JavaScript,4
1577,2742,Linux,4
1577,2742,Git,4
1577,2742,C++,4
