,序號,薪水,學歷要求
3543,3544,226200,專科
3545,3546,50000,大學
3548,3549,55000,專科
3550,3551,100000,專科
3551,3552,43500,大學
3552,3553,36000,大學
3553,3554,45000,不拘
3556,3557,38500,大學
3557,3558,43500,大學
3558,3559,55000,專科
3559,3560,45000,大學
3560,3561,64000,專科
3564,3565,37500,不拘
3566,3567,50000,大學
3567,3568,40000,大學
3569,3570,52500,大學
3570,3571,50000,大學
3571,3572,27000,高中以下
3573,3574,45000,大學
3577,3578,45000,專科
3578,3579,55000,大學
3579,3580,47500,大學
3581,3582,33000,大學
3583,3584,40000,專科
3584,3585,40000,專科
3586,3587,60000,大學
3587,3588,45000,大學
3588,3589,60000,大學
3590,3591,40000,專科
3591,3592,50000,大學
3592,3593,70000,大學
3593,3594,50000,大學
3594,3595,37500,不拘
3596,3597,50000,大學
3597,3598,40000,大學
3599,3600,52500,大學
3600,3601,50000,大學
3601,3602,27000,高中以下
3603,3604,45000,大學
3607,3608,45000,專科
3608,3609,55000,大學
3609,3610,47500,大學
3611,3612,33000,大學
3613,3614,40000,專科
3614,3615,40000,專科
3622,3623,33000,大學
3624,3625,44000,大學
3625,3626,52500,專科
3626,3627,62500,專科
3627,3628,37500,專科
3628,3629,32500,大學
3629,3630,36450,大學
3630,3631,35000,專科
3631,3632,55000,專科
3634,3635,49000,大學
3635,3636,58500,大學
3636,3637,33500,大學
3637,3638,40000,高中
3640,3641,30000,專科
3641,3642,30000,專科
3642,3643,32000,專科
3649,3650,40000,高中
3650,3651,26750,碩士
3651,3652,37500,不拘
3652,3653,34000,大學
3653,3654,58000,專科
3655,3656,37513,大學
3656,3657,57500,大學
3657,3658,39429,大學
3658,3659,38500,大學
3659,3660,47500,大學
3660,3661,55000,大學
3661,3662,40000,大學
3662,3663,70000,大學
3663,3664,55000,大學
3669,3670,37500,大學
3670,3671,42500,專科
3673,3674,32200,專科
3674,3675,40000,大學
3675,3676,33000,專科
3676,3677,40000,專科
3686,3687,55000,專科
3688,3689,35000,專科
3694,3695,33000,大學
3695,3696,46000,專科
3696,3697,48500,大學
3701,3702,40000,大學
3709,3710,30000,大學
3710,3711,60000,專科
3711,3712,75000,不拘
3716,3717,32400,專科
3718,3719,50000,大學
3719,3720,32400,專科
3724,3725,42500,不拘
3726,3727,41000,大學
3727,3728,41000,大學
3733,3734,38500,專科
3735,3736,48500,大學
3736,3737,60900,專科
3737,3738,37500,大學
3738,3739,40000,專科
3739,3740,62500,專科
3740,3741,50000,專科
3743,3744,31000,大學
3744,3745,88461,專科
3747,3748,50000,專科
3748,3749,35000,大學
3749,3750,50000,大學
3750,3751,60000,大學
3751,3752,50000,大學
3752,3753,60000,大學
3753,3754,75000,大學
3754,3755,45000,大學
3755,3756,45000,專科
3756,3757,40250,不拘
3757,3758,40250,不拘
3758,3759,30350,不拘
3759,3760,68500,大學
3760,3761,47500,大學
3761,3762,45000,高中
3762,3763,45000,專科
3766,3767,70000,大學
3767,3768,65000,大學
3768,3769,30000,不拘
3769,3770,35000,不拘
3770,3771,26000,高中
3771,3772,33000,專科
3773,3774,43500,大學
3775,3776,42500,大學
3777,3778,50000,大學
3779,3780,50000,大學
3782,3783,40000,專科
3786,3787,51500,專科
3787,3788,130000,大學
3788,3789,40000,高中
3789,3790,55769,大學
3792,3793,45000,大學
3794,3795,155000,專科
3796,3797,37500,大學
3799,3800,61538,大學
3805,3806,59500,大學
3806,3807,55000,高中
3807,3808,50000,專科
3810,3811,84615,大學
